ReachID,Name,RiverID,ClimateClass,RKm,WidthMean
1007,Willamette_River_3,56,9,20,190
1008,Willamette_River_30,56,9,290,72
1009,Willamette_River_31,56,9,300,72
1010,Willamette_River_4,56,9,30,190
1011,Willamette_River_5,56,9,40,190
1012,Willamette_River_6,56,9,50,190
1013,Willamette_River_7,56,9,60,190
1014,Willamette_River_8,56,9,70,190
1015,Willamette_River_9,56,9,80,190
1016,Wood_River_1,57,27,0,850
1017,Wood_River_2,57,27,10,850
1018,Wood_River_3,57,27,20,850
1019,Wood_River_4,57,27,30,
1020,Yakima_River_1,58,5,0,655
1021,Yakima_River_10,58,5,90,97
1022,Yakima_River_11,58,5,100,50
1023,Yakima_River_12,58,5,110,50
1024,Yakima_River_13,58,5,120,50
1025,Yakima_River_14,58,5,130,50
1026,Yakima_River_15,58,5,140,50
1027,Yakima_River_16,58,5,150,50
1028,Yakima_River_17,58,5,160,50
1029,Yakima_River_18,58,5,170,50
1030,Yakima_River_19,58,5,180,50
1031,Yakima_River_2,58,5,10,97
1032,Yakima_River_20,58,5,190,50
1033,Yakima_River_21,58,5,200,50
1034,Yakima_River_22,58,5,210,50
1035,Yakima_River_23,58,5,220,50
1036,Yakima_River_24,58,5,230,50
1037,Yakima_River_25,58,5,240,50
1038,Yakima_River_26,58,5,250,50
1039,Yakima_River_27,58,18,260,
1040,Yakima_River_28,58,18,270,
1041,Yakima_River_29,58,18,280,
1042,Yakima_River_3,58,5,20,97
1043,Yakima_River_30,58,18,290,
1044,Yakima_River_31,58,18,300,
1045,Yakima_River_32,58,18,310,
1046,Yakima_River_33,58,18,320,
1047,Yakima_River_34,58,18,330,
1048,Yakima_River_35,58,18,340,
1049,Yakima_River_36,58,18,350,
1050,Yakima_River_4,58,5,30,97
1051,Yakima_River_5,58,5,40,97
1052,Yakima_River_6,58,5,50,97
1053,Yakima_River_7,58,5,60,97
1054,Yakima_River_8,58,5,70,97
1055,Yakima_River_9,58,5,80,97
1056,Youngs_River_1,59,9,0,3558
1057,Youngs_River_2,59,9,10,3558
1058,Youngs_River_3,59,9,20,3558
1059,Youngs_River_4,59,9,30,3558
1060,Youngs_River_5,59,9,40,
