date,total avg discharge (m3/d),wse(m),storage(m3)
1994-11-11,0.0,,518061.60000000003
1994-11-12,1467.942912,,518061.60000000003
1994-11-13,0.0,,518061.60000000003
1994-11-14,0.0,,518061.60000000003
1994-11-15,0.0,,518061.60000000003
1994-11-16,0.0,,518061.60000000003
1994-11-17,0.0,,518061.60000000003
1994-11-18,0.0,,518061.60000000003
1994-11-19,1125.4228992,,518061.60000000003
1994-11-20,0.0,,519295.08
1994-11-21,2324.242944,,520528.56
1994-11-22,880.7657472,,521762.04
1994-11-23,587.1771648,,522995.52
1994-11-24,97.8628608,,524229.0
1994-11-25,0.0,,525462.48
1994-11-26,0.0,,526695.96
1994-11-27,0.0,,527929.4400000001
1994-11-28,0.0,,529162.92
1994-11-29,0.0,,530396.4
1994-11-30,978.628608,,530396.4
1994-12-01,5871.771648,,530396.4
1994-12-02,0.0,,530396.4
1994-12-03,0.0,,530396.4
1994-12-04,0.0,,530396.4
1994-12-05,0.0,,530396.4
1994-12-06,0.0,,530396.4
1994-12-07,0.0,,530396.4
1994-12-08,0.0,,530396.4
1994-12-09,0.0,,530396.4
1994-12-10,0.0,,529162.92
1994-12-11,0.0,,529162.92
1994-12-12,0.0,,529162.92
1994-12-13,0.0,,201957.68039999998
1994-12-14,0.0,,529162.92
1994-12-15,0.0,,526695.96
1994-12-16,0.0,,526695.96
1994-12-17,0.0,,526695.96
1994-12-18,0.0,,525462.48
1994-12-19,0.0,,524229.0
1994-12-20,0.0,,522995.52
1994-12-21,0.0,,521762.04
1994-12-22,0.0,,520528.56
1994-12-23,0.0,,519295.08
1994-12-24,0.0,,518061.60000000003
1994-12-25,0.0,,518061.60000000003
1994-12-26,0.0,,518061.60000000003
1994-12-27,0.0,,518061.60000000003
1994-12-28,0.0,,518061.60000000003
1994-12-29,0.0,,518061.60000000003
1994-12-30,0.0,,518061.60000000003
1994-12-31,0.0,,518061.60000000003
1995-01-01,0.0,,518061.60000000003
1995-01-02,0.0,,595770.84
1995-01-03,0.0,,673480.08
1995-01-04,0.0,,751189.3200000001
1995-01-05,0.0,,828898.56
1995-01-06,0.0,,906607.8
1995-01-07,0.0,,984317.04
1995-01-08,0.0,,1062026.28
1995-01-09,0.0,,1139735.52
1995-01-10,0.0,,1217444.76
1995-01-11,0.0,,1295154.0
1995-01-12,0.0,,1372863.24
1995-01-13,0.0,,1450572.48
1995-01-14,0.0,,1528281.72
1995-01-15,0.0,,1605990.96
1995-01-16,0.0,,1683700.2
1995-01-17,0.0,,1761409.44
1995-01-18,0.0,,1839118.68
1995-01-19,0.0,,1916827.92
1995-01-20,0.0,,1994537.16
1995-01-21,0.0,,2072246.4000000001
1995-01-22,0.0,,2149955.64
1995-01-23,0.0,,2227664.88
1995-01-24,0.0,,2305374.12
1995-01-25,48.9314304,,2383083.36
1995-01-26,24.4657152,,2460792.6
1995-01-27,24.4657152,,2538501.84
1995-01-28,48.9314304,,2616211.08
1995-01-29,97.8628608,,2693920.32
1995-01-30,220.1914368,,2771629.56
1995-01-31,318.0542976,,2874008.4
1995-02-01,538.2457344,,2874008.4
1995-02-02,660.5743104000001,,2874008.4
1995-02-03,1076.4914688,,2874008.4
1995-02-04,1419.0114815999998,,2874008.4
1995-02-05,1590.271488,,2874008.4
1995-02-06,1883.8600704,,2874008.4
1995-02-07,2006.1886464,,2874008.4
1995-02-08,2030.6543616,,2874008.4
1995-02-09,2397.6400896,,2772887.7096
1995-02-10,2446.57152,,2918894.7372
1995-02-11,2446.57152,,3054096.48
1995-02-12,2935.885824,,3191358.1344000003
1995-02-13,3180.542976,,3336563.4
1995-02-14,3425.200128,,3494979.2364
1995-02-15,3669.85728,,3611789.7924
1995-02-16,3914.514432,,3969461.988
1995-02-17,4403.828736,,4078822.3248000005
1995-02-18,4648.485888,,4191278.6964
1995-02-19,4648.485888,,4298998.5048
1995-02-20,5137.800192,,4444709.4972
1995-02-21,5382.457344,,4538725.342800001
1995-02-22,5627.114495999999,,4651687.4412
1995-02-23,5871.771648,,4686853.956
1995-02-24,6116.4288,,4790515.6152
1995-02-25,6116.4288,,4852300.6284
1995-02-26,6361.085952,,4911273.3072
1995-02-27,7584.371712,,5003660.9592
1995-02-28,8563.00032,,5099107.6416
1995-03-01,8807.657472,,5364688.2204
1995-03-02,8807.657472,,5794333.974
1995-03-03,9052.314624,,5376023.9016
1995-03-04,9052.314624,,5611630.9164
1995-03-05,9052.314624,942.356256,5934173.601600001
1995-03-06,9052.314624,942.7128720000001,6563347.08
1995-03-07,9052.314624,942.996336,7294418.3412
1995-03-08,9296.971776,943.2889440000001,8175850.8144
1995-03-09,9296.971776,943.270656,17940682.8996
1995-03-10,9296.971776,943.404768,19219517.959200002
1995-03-11,9296.971776,943.5388800000001,19643094.9912
1995-03-12,9296.971776,943.672992,20066684.358
1995-03-13,9296.971776,943.8071040000001,20490261.39
1995-03-14,9541.628928,943.941216,20913838.422000002
1995-03-15,9541.628928,944.078376,21337415.454
1995-03-16,9541.628928,944.212488,21761004.8208
1995-03-17,9541.628928,944.3466000000001,22184581.8528
1995-03-18,9786.28608,944.480712,22608158.8848
1995-03-19,9786.28608,944.6148240000001,23031748.251599997
1995-03-20,9786.28608,944.7489360000001,23455325.2836
1995-03-21,10275.600384,944.8830480000001,23878902.3156
1995-03-22,10275.600384,944.8860960000001,24302491.682400003
